run,step,time_s,time_us,Bz_center,Bz_min_chamber,Bz_max_chamber,rho_center,rho_max_chamber,Ti_center,Ti_max_chamber,Bz_units,rho_units,Ti_units
i,0,0.0,0.0,-0.08,-0.08,0.0,7.995395335256037,8.069896996019816,4.923826405508942,6.696343582380048,T,dimensionless,dimensionless
i,100,9.999999999999989e-08,0.0999999999999999,-0.07998597368036167,-0.08583633002423526,0.013109104703392086,7.992094313807255,8.065712006062718,4.950615774266101,58.24124764695908,T,dimensionless,dimensionless
i,200,1.9999999999999946e-07,0.19999999999999946,-0.0799789740457361,-0.08526831536286496,0.04176199299182637,7.990525170477426,8.42512194752488,5.019217865044263,86.80305145121682,T,dimensionless,dimensionless
i,300,3.000000000000007e-07,0.30000000000000066,-0.0800056228788566,-0.08545620066763676,0.07940700703963056,7.989303676036018,9.347496243158487,5.005467664317371,112.00846191480639,T,dimensionless,dimensionless
i,400,4.000000000000029e-07,0.4000000000000029,-0.08002432267679149,-0.08573815503111404,0.10228630474233986,7.988130942042584,9.754448001522382,4.974243346750802,248.1517140091922,T,dimensionless,dimensionless
i,500,5.000000000000039e-07,0.5000000000000039,-0.08003094025628879,-0.08601023107239769,0.11213345100589997,7.983602711808125,10.206253908524214,5.030620938802958,398.1901246490454,T,dimensionless,dimensionless
i,600,6.000000000000008e-07,0.6000000000000009,-0.08002202220183688,-0.08625835639321482,0.12598193956073941,7.971342538610079,11.115848920439806,4.962324014791575,444.97765641289607,T,dimensionless,dimensionless
i,700,6.999999999999977e-07,0.6999999999999977,-0.08000583490608482,-0.09493799582295448,0.13042414733409158,7.958843340738066,13.169351149393998,4.886592922665212,445.0869339328146,T,dimensionless,dimensionless
i,800,7.999999999999947e-07,0.7999999999999947,-0.07999412493313468,-0.11476368356631472,0.14036864790316317,7.9501048745782725,15.535971807312883,4.852604868629282,472.1959991575861,T,dimensionless,dimensionless
i,900,8.999999999999916e-07,0.8999999999999916,-0.07994610035800867,-0.12954761452763014,0.14827973434125444,7.947477011326548,18.541483576388647,4.856989791826967,494.93946210277977,T,dimensionless,dimensionless
i,1000,9.999999999999934e-07,0.9999999999999933,-0.0800636851892777,-0.14138201959382496,0.1375176421343516,7.949182711404236,21.81884900747187,4.749572423576452,586.3002155968898,T,dimensionless,dimensionless
i,1100,1.100000000000001e-06,1.100000000000001,-0.07960029049592127,-0.15221469459089843,0.1336958833357422,7.930791958212449,24.2996990690703,4.789293615401783,618.9124202668393,T,dimensionless,dimensionless
i,1200,1.2000000000000084e-06,1.2000000000000084,-0.07842064562227405,-0.1658102825560331,0.13706967336377085,7.902979809533037,26.08152108548502,4.853576751422018,678.95845505749,T,dimensionless,dimensionless
i,1300,1.300000000000016e-06,1.300000000000016,-0.08249893199730884,-0.17817800463951344,0.14119074040505813,7.849697369168149,29.865532258724745,4.933052407169395,708.5584897073045,T,dimensionless,dimensionless
i,1400,1.4000000000000234e-06,1.4000000000000234,-0.0723930741450154,-0.19158887741985328,0.14565433806970418,7.5421130117298745,34.04355574553885,4.81142181605714,712.622647677418,T,dimensionless,dimensionless
i,1500,1.500000000000031e-06,1.5000000000000309,-0.07181276575126219,-0.2095764126659391,0.15038290351068168,7.641788606505975,36.70458175751508,4.721926486032822,682.3978802737987,T,dimensionless,dimensionless
i,1600,1.6000000000000385e-06,1.6000000000000385,-0.16270643476007157,-0.3488047753216555,0.1550430879107037,12.802584935853186,39.80812768232764,8.854903710583578,674.2179911334559,T,dimensionless,dimensionless
i,1700,1.700000000000046e-06,1.700000000000046,-0.3943251225401987,-0.48340277099531337,0.15961693773128763,36.22168978848675,44.29098331732128,23.319965406359174,745.8503571742366,T,dimensionless,dimensionless
i,1800,1.8000000000000535e-06,1.8000000000000536,-0.32317953651190057,-0.34006636544600716,0.16405713529559413,32.49172633354124,47.561796029149654,19.61434051565586,752.6660517638169,T,dimensionless,dimensionless
i,1900,1.900000000000061e-06,1.900000000000061,-0.1610851055304636,-0.2520602821495816,0.16836105898943377,16.227459363054916,48.55547526455332,8.666970359274053,794.5466972476233,T,dimensionless,dimensionless
i,2000,2.0000000000000685e-06,2.0000000000000684,-0.12419485037871378,-0.24744745408742252,0.17255398554973117,12.669353875066712,51.23324140634004,6.543751752966334,819.2945087894894,T,dimensionless,dimensionless
j,0,0.0,0.0,-0.08,-0.08,0.0,7.981453306179944,8.072910830767043,4.937943473991014,6.448971481094056,T,dimensionless,dimensionless
j,100,9.999999999999989e-08,0.0999999999999999,-0.08002040573964306,-0.085837014856672,0.013107917342130763,7.984694574370217,8.070668904964801,4.92458128775211,57.81857676703094,T,dimensionless,dimensionless
j,200,1.9999999999999946e-07,0.19999999999999946,-0.08000002839532007,-0.08526429186073135,0.04179791061083727,7.987867435199803,8.448795813322851,4.952598351456295,91.79426723588371,T,dimensionless,dimensionless
j,300,3.000000000000007e-07,0.30000000000000066,-0.08000761816115001,-0.08545799716393238,0.07935829940219036,7.991675425703579,9.370682129372259,4.935435207392398,111.19790816366324,T,dimensionless,dimensionless
j,400,4.000000000000029e-07,0.4000000000000029,-0.08002341973225582,-0.08572045278418476,0.10224392925194237,7.993175402286702,9.740335958120976,4.8447308569984635,247.05597596930366,T,dimensionless,dimensionless
j,500,5.000000000000039e-07,0.5000000000000039,-0.08002206761065858,-0.08601919104514791,0.11226357516503806,7.992298323051336,10.119098920650377,4.904554390596287,407.09343854279456,T,dimensionless,dimensionless
j,600,6.000000000000008e-07,0.6000000000000009,-0.08001328469116466,-0.08627033860821343,0.1258795845140828,7.991532141286374,11.115183483140061,4.828216450581462,446.23116038583134,T,dimensionless,dimensionless
j,700,6.999999999999977e-07,0.6999999999999977,-0.0800077219988417,-0.09492574635718334,0.1308636885618858,7.990819808926133,13.067587351941325,4.855556522306326,453.20091306662346,T,dimensionless,dimensionless
j,800,7.999999999999947e-07,0.7999999999999947,-0.07999418314353376,-0.11486021430374124,0.1407646692323424,7.9904842602459505,15.592011089241232,4.792790206003243,476.081456138295,T,dimensionless,dimensionless
j,900,8.999999999999916e-07,0.8999999999999916,-0.07994070088120808,-0.12948708289575492,0.14822151954389862,7.990242773331894,18.554919792730967,4.671168514751616,505.83166572297887,T,dimensionless,dimensionless
j,1000,9.999999999999934e-07,0.9999999999999933,-0.08006197312277066,-0.14135952549292663,0.13750568231355154,7.994404747075555,21.6344012052257,4.704048367453831,614.3493094022948,T,dimensionless,dimensionless
j,1100,1.100000000000001e-06,1.100000000000001,-0.07961125301568632,-0.15226803783049855,0.13349506464428396,7.97874492373775,24.47924186895419,4.751725182962495,613.7734706508028,T,dimensionless,dimensionless
j,1200,1.2000000000000084e-06,1.2000000000000084,-0.07841821399847211,-0.16595868541242503,0.1370644303410254,7.953997293080371,26.091088587889633,4.804806063811874,685.9316109876133,T,dimensionless,dimensionless
j,1300,1.300000000000016e-06,1.300000000000016,-0.08250131837516907,-0.17833552530163552,0.14113236165760573,7.902075531014082,30.04997320110398,4.905101001987083,711.5626874523181,T,dimensionless,dimensionless
j,1400,1.4000000000000234e-06,1.4000000000000234,-0.07239683951280786,-0.19154377907230624,0.14558186222892158,7.592855920292184,33.84279860237442,4.643057683547919,709.1394081347551,T,dimensionless,dimensionless
j,1500,1.500000000000031e-06,1.5000000000000309,-0.07178389035633435,-0.20956599088748712,0.15033026217615442,7.689047059453996,36.19218147010763,4.6116069485835585,683.9392998375602,T,dimensionless,dimensionless
